Municipality,2016 Trump,2016 Clinton,2016 Total,2016 Margin,2016 Win Weighted,2020 Trump,2020 Biden,2020 Total,2020 Margin,2020 Win Weighted,2024 Trump,2024 Harris,2024 Total,2024 Margin,2024 Win Weighted,2016->20 Shift,2020->24 Shift,16->20 Shift weighted,20->24 Shift weighted,,2016->24 Shift,Median Household Income,2016 Percent Margin,2020 Percent Margin,2024 Percent Margin,2016->2020_Margin_Shift,2020->2024_Margin_Shift,2016->2024_Margin_Shift
Barrington,2898,6153,9051,3255,0.3596287703,2889,7713,10602,4824,0.455008489,2858,7323,10181,4465,0.4385620273,1569,-359,0.3596287703,-0.03526176211,-3.526176211,1210,130455,35.96287703,45.5008489,43.85620273,9.537971866,-1.644646166,7.8933257
Bristol,4080,5771,9851,1691,0.1716576997,4595,6813,11408,2218,0.1944249649,4692,6550,11242,1858,0.1652730831,527,-360,0.1716576997,-0.03202277175,-3.202277175,167,80727,17.16576997,19.44249649,16.52730831,2.276726521,-2.915188186,-0.6384616645
Burrillville,4139,2558,6697,-1581,-0.2360758549,4906,3434,8340,-1472,-0.176498801,5361,3142,8503,-2219,-0.2609667176,109,-747,-0.2360758549,-0.08785134658,-8.785134658,-638,96824,-23.60758549,-17.6498801,-26.09667176,5.95770539,-8.446791667,-2.489086277
Central Falls,567,3394,3961,2827,0.7137086594,1113,3073,4186,1960,0.4682274247,1250,2313,3563,1063,0.2983440921,-867,-897,0.7137086594,-0.2517541398,-25.17541398,-1764,40235,71.37086594,46.82274247,29.83440921,-24.54812347,-16.98833327,-41.53645674
Charlestown,1906,2207,4113,301,0.07318259178,2198,2909,5107,711,0.1392206775,2346,2852,5198,506,0.09734513274,410,-205,0.07318259178,-0.03943824548,-3.943824548,205,86023,7.318259178,13.92206775,9.734513274,6.603808572,-4.187554476,2.416254096
Coventry,9199,7032,16231,-2167,-0.1335099501,10461,9123,19584,-1338,-0.06832107843,11191,8587,19778,-2604,-0.131661442,829,-1266,-0.1335099501,-0.06401051674,-6.401051674,-437,88779,-13.35099501,-6.832107843,-13.1661442,6.518887166,-6.334036357,0.1848508089
Cranston,15934,18763,34697,2829,0.08153442661,17313,23039,40352,5726,0.1419012688,18539,21035,39574,2496,0.06307171375,2897,-3230,0.08153442661,-0.08161924496,-8.161924496,-333,77145,8.153442661,14.19012688,6.307171375,6.036684223,-7.882955508,-1.846271286
Cumberland,7444,8655,16099,1211,0.07522206348,8418,10869,19287,2451,0.1270804169,8746,10057,18803,1311,0.06972291656,1240,-1140,0.07522206348,-0.06062862309,-6.062862309,100,104613,7.522206348,12.70804169,6.972291656,5.185835338,-5.735750031,-0.5499146926
East Greenwich,3122,4019,7141,897,0.1256126593,3227,5218,8445,1991,0.2357608052,3186,5053,8239,1867,0.2266051705,1094,-124,0.1256126593,-0.01505037019,-1.505037019,970,133373,12.56126593,23.57608052,22.66051705,11.01481459,-0.915563468,10.09925112
East Providence,7134,11904,19038,4770,0.2505515285,7930,14735,22665,6805,0.3002426649,8630,13700,22330,5070,0.2270488133,2035,-1735,0.2505515285,-0.07769816391,-7.769816391,300,65016,25.05515285,30.02426649,22.70488133,4.969113638,-7.319385165,-2.350271527
Exeter,1820,1471,3291,-349,-0.1060467943,2009,1974,3983,-35,-0.008787346221,2056,1843,3899,-213,-0.05462939215,314,-178,-0.1060467943,-0.04565273147,-4.565273147,136,95053,-10.60467943,-0.8787346221,-5.462939215,9.725944807,-4.584204593,5.141740214
Foster,1374,967,2341,-407,-0.1738573259,1582,1224,2806,-358,-0.1275837491,1755,1110,2865,-645,-0.2251308901,49,-287,-0.1738573259,-0.1001745201,-10.01745201,-238,99892,-17.38573259,-12.75837491,-22.51308901,4.627357682,-9.754714094,-5.127356412
Glocester,2914,1977,4891,-937,-0.1915763648,3351,2638,5989,-713,-0.1190515946,3771,2460,6231,-1311,-0.2103996148,224,-598,-0.1915763648,-0.09597175413,-9.597175413,-374,97753,-19.15763648,-11.90515946,-21.03996148,7.252477016,-9.134802024,-1.882325008
Hopkinton,2135,1766,3901,-369,-0.09459113048,2423,2298,4721,-125,-0.02647744122,2607,2253,4860,-354,-0.07283950617,244,-229,-0.09459113048,-0.04711934156,-4.711934156,15,87712,-9.459113048,-2.647744122,-7.283950617,6.811368926,-4.636206495,2.175162431
Jamestown,1148,2172,3320,1024,0.3084337349,1212,2795,4007,1583,0.3950586474,1168,2628,3796,1460,0.3846153846,559,-123,0.3084337349,-0.03240252898,-3.240252898,436,120129,30.84337349,39.50586474,38.46153846,8.662491243,-1.044326275,7.618164968
Johnston,7563,5652,13215,-1911,-0.1446083995,8222,6838,15060,-1384,-0.09189907039,9189,6181,15370,-3008,-0.1957059206,527,-1624,-0.1446083995,-0.1056603774,-10.56603774,-1097,75579,-14.46083995,-9.189907039,-19.57059206,5.270932916,-10.38068502,-5.109752108
Lincoln,5410,5279,10689,-131,-0.01225558986,5779,6633,12412,854,0.06880438286,5985,6248,12233,263,0.02149922341,985,-591,-0.01225558986,-0.0483119431,-4.83119431,394,94571,-1.225558986,6.880438286,2.149922341,8.105997271,-4.730515944,3.375481327
Little Compton,821,1165,1986,344,0.1732124874,951,1524,2475,573,0.2315151515,971,1501,2472,530,0.2144012945,229,-43,0.1732124874,-0.01739482201,-1.739482201,186,96111,17.32124874,23.15151515,21.44012945,5.83026641,-1.711385702,4.118880709
Middletown,2745,4248,6993,1503,0.2149292149,2885,5529,8414,2644,0.3142381745,2819,4935,7754,2116,0.2728914109,1141,-528,0.2149292149,-0.06809388703,-6.809388703,613,88211,21.49292149,31.42381745,27.28914109,9.930895954,-4.134676359,5.796219596
Narragansett,3292,4214,7506,922,0.1228350653,3551,5333,8884,1782,0.2005853219,3797,5001,8798,1204,0.1368492839,860,-578,0.1228350653,-0.06569674926,-6.569674926,282,82532,12.28350653,20.05853219,13.68492839,7.775025665,-6.3736038,1.401421865
New Shoreham,214,609,823,395,0.4799513973,195,748,943,553,0.586426299,177,651,828,474,0.5724637681,158,-79,0.4799513973,-0.09541062802,-9.541062802,79,72279,47.99513973,58.6426299,57.24637681,10.64749017,-1.396253093,9.251237079
Newport,2644,6287,8931,3643,0.4079050498,2662,7866,10528,5204,0.4943009119,2759,7012,9771,4253,0.4352676287,1561,-951,0.4079050498,-0.09732883021,-9.732883021,610,77092,40.79050498,49.43009119,43.52676287,8.639586203,-5.903328316,2.736257887
North Kingstown,6147,7793,13940,1646,0.1180774749,6633,10534,17167,3901,0.2272383061,6643,10082,16725,3439,0.2056203288,2255,-462,0.1180774749,-0.02762331839,-2.762331839,1793,104026,11.80774749,22.72383061,20.56203288,10.91608312,-2.16179772,8.754285396
North Providence,6936,7760,14696,824,0.05606967882,7129,9438,16567,2309,0.1393734533,7440,8517,15957,1077,0.06749388983,1485,-1232,0.05606967882,-0.07720749514,-7.720749514,253,68821,5.606967882,13.93734533,6.749388983,8.330377443,-7.187956342,1.1424211
North Smithfield,3242,2570,5812,-672,-0.1156228493,3550,3507,7057,-43,-0.006093240754,3679,3333,7012,-346,-0.04934398175,629,-303,-0.1156228493,-0.04321163719,-4.321163719,326,87121,-11.56228493,-0.6093240754,-4.934398175,10.95296085,-4.325074099,6.627886753
Pawtucket,6221,15574,21795,9353,0.4291351227,7257,18053,25310,10796,0.4265507704,7910,15719,23629,7809,0.3304837276,1443,-2987,0.4291351227,-0.1264124593,-12.64124593,-1544,56427,42.91351227,42.65507704,33.04837276,-0.2584352288,-9.606704282,-9.865139511
Portsmouth,3922,4945,8867,1023,0.1153716026,3995,6649,10644,2654,0.2493423525,4009,6301,10310,2292,0.2223084384,1631,-362,0.1153716026,-0.03511154219,-3.511154219,1269,104073,11.53716026,24.93423525,22.23084384,13.39707499,-2.703391409,10.69368358
Providence,7682,45053,52735,37371,0.70865649,10186,45941,56127,35755,0.637037433,12755,40800,53555,28045,0.523667258,-1616,-7710,0.70865649,-0.143964149,-14.3964149,-9326,55787,70.865649,63.7037433,52.3667258,-7.161905703,-11.3370175,-18.4989232
Richmond,2058,1713,3771,-345,-0.09148766905,2343,2346,4689,3,0.0006397952655,2481,2319,4800,-162,-0.03375,348,-165,-0.09148766905,-0.034375,-3.4375,183,100493,-9.148766905,0.06397952655,-3.375,9.212746432,-3.438979527,5.773766905
Scituate,3536,2045,5581,-1491,-0.2671564236,3806,2735,6541,-1071,-0.1637364317,3978,2531,6509,-1447,-0.2223075741,420,-376,-0.2671564236,-0.05776616992,-5.776616992,44,104388,-26.71564236,-16.37364317,-22.23075741,10.34199918,-5.857114239,4.484884945
Smithfield,5254,4402,9656,-852,-0.08823529412,5744,5566,11310,-178,-0.0157382847,6104,5193,11297,-911,-0.08064087811,674,-733,-0.08823529412,-0.06488448261,-6.488448261,-59,87819,-8.823529412,-1.57382847,-8.064087811,7.249700941,-6.490259341,0.7594416008
South Kingstown,4627,8677,13304,4050,0.3044197234,5003,11254,16257,6251,0.3845112874,5368,10687,16055,5319,0.3312986609,2201,-932,0.3044197234,-0.05805045157,-5.805045157,1269,102242,30.44197234,38.45112874,33.12986609,8.009156405,-5.321262659,2.687893746
Tiverton,3797,4034,7831,237,0.03026433406,4017,5123,9140,1106,0.1210065646,4204,4716,8920,512,0.05739910314,869,-594,0.03026433406,-0.06659192825,-6.659192825,275,85522,3.026433406,12.10065646,5.739910314,9.074223049,-6.360746141,2.713476908
Warren,1987,2685,4672,698,0.1494006849,2261,3524,5785,1263,0.2183232498,2452,3467,5919,1015,0.1714816692,565,-248,0.1494006849,-0.04189896942,-4.189896942,317,75755,14.94006849,21.83232498,17.14816692,6.892256485,-4.684158058,2.208098427
Warwick,18338,20038,38376,1700,0.04429851991,19578,25845,45423,6267,0.137969751,20439,24020,44459,3581,0.08054612115,4567,-2686,0.04429851991,-0.06041521402,-6.041521402,1881,77110,4.429851991,13.7969751,8.054612115,9.36712311,-5.742362986,3.624760124
West Greenwich,1953,1159,3112,-794,-0.2551413882,2242,1693,3935,-549,-0.1395171537,2405,1559,3964,-846,-0.2134207871,245,-297,-0.2551413882,-0.07492431887,-7.492431887,-52,126402,-25.51413882,-13.95171537,-21.34207871,11.56242344,-7.390363334,4.172060109
West Warwick,5724,5540,11264,-184,-0.01633522727,6493,7234,13727,741,0.05398120492,7068,6762,13830,-306,-0.02212581345,925,-1047,-0.01633522727,-0.07570498915,-7.570498915,-122,62649,-1.633522727,5.398120492,-2.212581345,7.03164322,-7.610701837,-0.5790586176
Westerly,5031,5291,10322,260,0.02518891688,5463,7153,12616,1690,0.1339568802,5610,6582,12192,972,0.07972440945,1430,-718,0.02518891688,-0.05889107612,-5.889107612,712,81051,2.518891688,13.39568802,7.972440945,10.87679633,-5.42324707,5.453549257
Woonsocket,5442,6346,11788,904,0.07668815745,6265,7289,13554,1024,0.07554965324,6597,6386,12983,-211,-0.01625202187,120,-1235,0.07668815745,-0.09512439344,-9.512439344,-1115,48822,7.668815745,7.554965324,-1.625202187,-0.1138504209,-9.180167511,-9.294017932
,180400,251888,432288,71488,0.165371234,199837,306210,506047,106373,0.2102037953,212995,281409,494404,68414,0.1383767122,34885,-37959,0.165371234,-0.07677729145,-7.677729145,-3074,,,,,,,